Title, SN Number, Location, Date, Image # 
"Belmont chronicle. [volume]",sn85026241,"St. Clairsville, Ohio","January 31, 1856",1
"Plymouth banner.",sn87056241,"Plymouth, Marshall County, Ind.","March 24, 1853",1
"Quasqueton guardian.",sn88059517,"Quasqueton, Buchanan County, Iowa","March 11, 1858",2
"Smyrna times. [volume]",sn84020422,"Smyrna, Del.","January 14, 1857",2
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","September 11, 1851",1
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","October 03, 1860",3
"Chicago daily tribune. [volume]",sn84031490,"Chicago, Ill.","November 24, 1860",1
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","November 04, 1859, Supplement to the Green Mt. Freeman",6
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","September 22, 1859",3
"Civilian & telegraph. [volume]",sn83016179,"Cumberland, Md.","January 12, 1860",2
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","July 18, 1860",2
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","September 27, 1860",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","October 11, 1860",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","October 18, 1860",3
"St. Charles City Republican intelligencer. [volume]",sn82014141,"St. Charles City [Charles City], Iowa","March 08, 1860",2
"Daily Democrat and news. [volume]",sn82015737,"Davenport, Iowa","July 21, 1860",1
"The Hillsdale standard. [volume]",sn85033637,"Hillsdale, Mich.","December 18, 1855",2
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","January 04, 1854",2
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","December 17, 1858",3
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","January 08, 1859",2
"The Kansas herald of freedom. [volume]",sn82006863,"Wakarusa, Kan. Territory","September 24, 1859",2
"Fremont journal. [volume]",sn85026050,"Fremont, Sandusky County [Ohio]","February 12, 1853",1
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","September 06, 1860",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","September 13, 1860",3
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","September 20, 1860",3
"Marshall County Republican.",sn84038034,"Plymouth, Ind.","July 28, 1859",3
"Wabash express. [volume]",sn82016350,"Terre-Haute, Vigo Co[unty], Ind.","October 03, 1860",3
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","March 22, 1854",3
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","October 09, 1858",1
"The weekly north Iowa times. [volume]",sn84027238,"McGregor, Iowa","January 19, 1859",1
"Bellows Falls times. [volume]",sn84022549,"Bellows Falls, Vt.","December 24, 1858",2
"Bedford inquirer. [volume]",sn83032006,"Bedford, Pa.","March 18, 1859",3
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","January 06, 1859",3
"Pomeroy weekly telegraph. [volume]",sn85038184,"Pomeroy, Meigs County, Ohio","July 03, 1860",3
"Raftsman's journal. [volume]",sn85054616,"Clearfield, Pa.","April 29, 1857",4
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","March 01, 1854",3
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","March 08, 1854",3
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","February 22, 1854",3
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","February 01, 1854",3
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","February 08, 1854",3
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","March 15, 1854",3
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","November 05, 1858",3
"The national era. [volume]",sn84026752,"Washington [D.C.]","February 10, 1859",1
"Dayton daily empire. [volume]",sn85026002,"Dayton [Ohio]","July 02, 1860",3
"The Belmont chronicle, and farmers, mechanics and manufacturers advocate. [volume]",sn84028479,"St. Clairsville, Ohio","March 11, 1853",3
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","September 09, 1859",2
"Lewisburg chronicle. [volume]",sn85055197,"Lewisburg, Pa.","January 28, 1859",1
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","December 30, 1858",3
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","September 08, 1859",3
"Indiana American. [volume]",sn84023881,"Brookville, Ind.","February 20, 1857",1
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","June 12, 1856",2
"Daily national Democrat. [volume]",sn84038814,"Marysville, Calif.","December 07, 1858",3
"The Kenosha telegraph and tribune. [volume]",sn85040309,"Kenosha, Wis.","March 29, 1860",2
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","February 01, 1858",2
"The Belmont chronicle, and farmers, mechanics and manufacturers advocate. [volume]",sn84028479,"St. Clairsville, Ohio","April 01, 1853",3
"The Highland weekly news. [volume]",sn85038158,"Hillsborough [Hillsboro], Highland County, Ohio","April 08, 1858",3
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","February 15, 1854",3
"Kenosha tribune & telegraph. [volume]",sn85040308,"Kenosha, Wis.","January 14, 1858",2
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","June 11, 1860",3
"The Union and eastern journal. [volume]",sn83021380,"Biddeford [Me.]","January 30, 1857",2
"The Kenosha telegraph and tribune. [volume]",sn85040309,"Kenosha, Wis.","August 25, 1859",2
"Wheeling daily intelligencer. [volume]",sn86092535,"Wheeling, Va. [W. Va.]","August 22, 1856",2
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","March 11, 1859",3
"Cleveland morning leader. [volume]",sn83035143,"Cleveland [Ohio]","July 23, 1859",3
"The Tipton advertiser. [volume]",sn84027398,"Tipton, Cedar Co., Iowa","April 03, 1858",3
"New-York daily tribune. [volume]",sn83030213,"New-York [N.Y.]","May 03, 1860, Page 2",2
"The press and tribune. [volume]",sn82014511,"Chicago, Ill.","July 26, 1859",1
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","February 25, 1857",1
"Eastern times. [volume]",sn82014356,"Bath, Me.","September 19, 1850",2
"Carroll free press. [volume]",sn83035366,"Carrollton [Ohio]","April 01, 1853",1
"Fremont journal. [volume]",sn85026050,"Fremont, Sandusky County [Ohio]","April 02, 1853",1
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","March 30, 1853",1
"Nebraska advertiser. [volume]",sn84020109,"Brownville, Nemaha County, N.T. [Neb.]","December 09, 1858",1
"Gallipolis journal. [volume]",sn85038121,"Gallipolis, Ohio","April 07, 1853",1
"The Kalida venture. [volume]",sn85038078,"Kalida, Ohio","April 08, 1853",1
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","September 30, 1857",1
"The Perrysburg journal. [volume]",sn85026192,"Perrysburg, Ohio","July 21, 1855, Page 77",5
"Raftsman's journal. [volume]",sn85054616,"Clearfield, Pa.","April 15, 1857",1
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","April 23, 1856",1
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","June 11, 1856",1
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","November 12, 1858",4
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","January 07, 1859",2
"The Literary echo, and Pawcatuck advertiser. [volume]",sn83021532,"Westerly, R.I.","December 02, 1852",2
"The Jackson standard. [volume]",sn85038180,"Jackson C.H., Ohio","March 31, 1853",2
"The Democratic sentinel. [volume]",sn85025647,"Cadiz, Ohio","March 30, 1853",1
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","March 04, 1857",2
"Democrat and sentinel. [volume]",sn86071378,"Ebensburg, Pa.","October 31, 1855",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","September 30, 1857",1
"Plymouth banner.",sn87056241,"Plymouth, Marshall County, Ind.","June 02, 1853",2
"Jeffersonian Democrat.",sn87065298,"Kosciusko, Miss.","January 27, 1844",1
"The Portsmouth inquirer. [volume]",sn85026203,"Portsmouth, O. [Ohio]","April 01, 1853",1
"Democrat and sentinel. [volume]",sn86071378,"Ebensburg, Pa.","February 17, 1854",1
"The Kansas herald of freedom. [volume]",sn82006863,"Wakarusa, Kan. Territory","September 10, 1859",2
"The Potter journal. [volume]",sn86081096,"Coudersport, Pa.","February 16, 1860",1
"Port Tobacco times, and Charles County advertiser.",sn89060060,"Port Tobacco, Md.","February 11, 1858",1
"The Jeffersonian. [volume]",sn84026399,"Stroudsburg, Pa.","September 29, 1853",2
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","August 28, 1857",2
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","January 04, 1854",1
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","November 19, 1858",1
"Ellsworth American. [volume]",sn84022374,"Ellsworth, Me.","March 21, 1856",2
"True American. [volume]",sn84028817,"Steubenville [Ohio]","June 17, 1857",3
"True American. [volume]",sn84028817,"Steubenville [Ohio]","June 24, 1857",3
"Western Reserve chronicle. [volume]",sn84028385,"Warren, Ohio","March 17, 1858",2
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","March 01, 1856",3
"Pomeroy weekly telegraph. [volume]",sn85038184,"Pomeroy, Meigs County, Ohio","April 24, 1860",3
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","December 13, 1859",2
"The Tipton advertiser. [volume]",sn84027398,"Tipton, Cedar Co., Iowa","January 03, 1857",2
"Minnesota weekly times. [volume]",sn85025594,"St. Paul, Minn.","September 26, 1854",1
"The Kalida venture. [volume]",sn85038078,"Kalida, Ohio","April 01, 1853",4
"Vermont phœnix. [volume]",sn98060050,"Brattleboro, Vt.","October 16, 1858",1
"West-Jersey pioneer. [volume]",sn83032103,"Bridgeton, N.J.","May 16, 1857",1
"Bedford inquirer. [volume]",sn83032006,"Bedford, Pa.","February 10, 1860",1
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","August 07, 1857",2
"Georgetown weekly news.",sn93052971,"Georgetown, El Dorado County, Cal.","November 02, 1854",1
"Eastern times. [volume]",sn82014356,"Bath, Me.","April 27, 1854",2
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","November 18, 1852",2
"The Belmont chronicle, and farmers, mechanics and manufacturers advocate. [volume]",sn84028479,"St. Clairsville, Ohio","April 01, 1853",1
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","December 28, 1853",1
"Kenosha telegraph. [volume]",sn85040305,"Kenosha, Wis.","February 21, 1851",2
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","May 19, 1857",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","December 20, 1855",2
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","July 15, 1857",2
"Raftsman's journal. [volume]",sn85054616,"Clearfield, Pa.","September 13, 1854",1
"Green-Mountain freeman. [volume]",sn84023209,"Montpelier, Vt.","September 03, 1857",3
"The Ohio star. [volume]",sn83035044,"Ravenna, Ohio","March 30, 1853",1
"Preble County Democrat. [volume]",sn85026031,"Eaton, Ohio","June 04, 1857",2
"The guard. [volume]",sn83016785,"Holly Springs, Miss.","January 17, 1844",1
"Portage sentinel. [volume]",sn83035101,"Ravenna, Ohio","March 23, 1853",2
"The Portsmouth inquirer. [volume]",sn85026203,"Portsmouth, O. [Ohio]","July 16, 1852",2
"The Tiffin tribune. [volume]",sn85026279,"Tiffin, Ohio","May 29, 1857",1
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","October 13, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","October 20, 1855",4
"Anti-slavery bugle. [volume]",sn83035487,"New-Lisbon, Ohio","February 05, 1853",2
"Bradford reporter. [volume]",sn84024558,"Towanda, Pa.","October 06, 1859",2
"Wheeling daily intelligencer. [volume]",sn86092535,"Wheeling, Va. [W. Va.]","November 18, 1858",2
"The Wyandot pioneer.",sn87076863,"Upper Sandusky, Ohio","May 14, 1857",1
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","November 12, 1856",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","March 18, 1857",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","May 06, 1857",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","September 21, 1854",4
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","March 04, 1857",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","February 22, 1855",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","October 25, 1855",2
"The star of the north. [volume]",sn85025182,"Bloomsburg, Pa.","May 06, 1857",2
"Columbus Whig.",sn87065034,"Columbus, Miss.","January 11, 1844",1
"Bedford inquirer. [volume]",sn83032006,"Bedford, Pa.","February 10, 1860",2
"Lewistown gazette. [volume]",sn83032276,"Lewistown, Pa.","January 28, 1858",2
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","April 13, 1853",2
"Carroll free press. [volume]",sn83035366,"Carrollton [Ohio]","May 21, 1857",1
"The Jackson standard. [volume]",sn85038180,"Jackson C.H., Ohio","May 28, 1857",1
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","October 15, 1858",1
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","November 26, 1858",4
"Orleans independent standard. [volume]",sn84022548,"Irasburgh, Vt.","December 03, 1858",2
"Lewisburg chronicle. [volume]",sn85055197,"Lewisburg, Pa.","March 28, 1856",1
"The daily Gate City. [volume]",sn83025182,"Keokuk, Iowa","October 10, 1859",2
"Sauk Rapids frontierman. [volume]",sn83016799,"Sauk Rapids, M.T. [i.e. Minn.]","August 06, 1857",2
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","May 12, 1859",1
"Litchfield enquirer. [volume]",sn84020071,"Litchfield, Conn.","May 13, 1858",1
"The Cecil Whig. [volume]",sn83016348,"Elkton, Md.","October 27, 1849",2
"Jeffersonian Republican. [volume]",sn86053954,"Stroudsburg, Pa.","July 18, 1850",1
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","May 04, 1853",2
"Weekly standard. [volume]",sn83045706,"Raleigh, N.C.","August 22, 1860",2
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","October 14, 1852",1
"Semi-weekly standard. [volume]",sn83045450,"Raleigh, N.C.","August 22, 1860",2
"The Belmont chronicle, and farmers, mechanics and manufacturers advocate. [volume]",sn84028479,"St. Clairsville, Ohio","August 12, 1853, Page 2",2
"The spirit of democracy. [volume]",sn85038115,"Woodsfield, Ohio","April 19, 1854",2
"Eastern times. [volume]",sn82014356,"Bath, Me.","August 28, 1851",2
"Fremont journal. [volume]",sn85026050,"Fremont, Sandusky County [Ohio]","June 05, 1857",1
"Spirit of the times. [volume]",sn84028880,"Ironton, Ohio","April 05, 1853",3
"Spirit of the times. [volume]",sn84028880,"Ironton, Ohio","April 05, 1853",4
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","October 08, 1858",1
"Raftsman's journal. [volume]",sn85054616,"Clearfield, Pa.","February 11, 1857",2
"Gallipolis journal. [volume]",sn85038121,"Gallipolis, Ohio","April 14, 1853",1
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","April 05, 1853",1
"The Cadiz Democratic sentinel. [volume]",sn84028794,"Cadiz, Ohio","June 25, 1857",2
"Belmont chronicle. [volume]",sn85026241,"St. Clairsville, Ohio","June 25, 1857",2
"Belmont chronicle. [volume]",sn85026241,"St. Clairsville, Ohio","July 02, 1857",2
"The daily Gate City. [volume]",sn83025182,"Keokuk, Iowa","August 13, 1857",2
"The Lancaster gazette.",sn87070038,"Lancaster, Ohio","October 26, 1849",2
"The Shasta courier. [volume]",sn82015099,"Shasta, Calif.","March 31, 1860",4
"Weekly standard. [volume]",sn83045706,"Raleigh, N.C.","November 21, 1860",3
"Weekly standard. [volume]",sn83045706,"Raleigh, N.C.","November 21, 1860",1
"The Evansville daily journal. [volume]",sn82015672,"Evansville, Ia. [i.e. Ind.]","January 10, 1855",2
"The Richmond Indiana palladium. [volume]",sn86058249,"Richmond, Ind.","September 06, 1855",1
"The Richmond Indiana palladium. [volume]",sn86058249,"Richmond, Ind.","August 16, 1855",2
"The Richmond Indiana palladium. [volume]",sn86058249,"Richmond, Ind.","August 23, 1855",2
"Cincinnati daily press. [volume]",sn84028745,"Cincinnati [Ohio]","October 12, 1860",2
"Cincinnati daily press. [volume]",sn84028745,"Cincinnati [Ohio]","November 13, 1860",2
"Ashtabula weekly telegraph. [volume]",sn83035216,"Ashtabula, Ohio","October 30, 1858",2
"Ashtabula weekly telegraph. [volume]",sn83035216,"Ashtabula, Ohio","February 25, 1860",2
"Burlington free press. [volume]",sn84023127,"Burlington, Vt.","August 26, 1859",1
"The Perrysburg journal. [volume]",sn85026192,"Perrysburg, Ohio","December 31, 1857",2
"Vermont watchman and State journal. [volume]",sn84023200,"Montpelier, Vt.","November 17, 1854",1
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","May 01, 1855",2
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","March 03, 1857",2
"Meigs County telegraph. [volume]",sn85038183,"Pomeroy [Ohio]","March 15, 1859",1
"Muscatine weekly journal. [volume]",sn84027253,"Muscatine, Iowa","October 26, 1860",4
"Plymouth advertiser. [volume]",sn86079046,"Plymouth, Ohio","February 11, 1854",3
